Država,Šifra valute,Valuta,Jedinica,Kupovni za devize,Srednji za devize,Prodajni za devize
Australija,36,AUD,1,"4,642655","4,656625","4,670595"
Kanada,124,CAD,1,"4,91968","4,934483","4,949286"
Češka,203,CZK,1,"0,282123","0,282972","0,283821"
Danska,208,DKK,1,"1,010253","1,013293","1,016333"
Mađarska,348,HUF,100,"2,134581","2,141004","2,147427"
Japan,392,JPY,100,"6,198617","6,217269","6,235921"
Norveška,578,NOK,1,"0,70828","0,710411","0,712542"
Švedska,752,SEK,1,"0,7177","0,71986","0,72202"
Švicarska,756,CHF,1,"7,076144","7,097436","7,118728"
Velika Britanija,826,GBP,1,"8,331601","8,356671","8,381741"
SAD,840,USD,1,"6,665724","6,685781","6,705838"
Bosna i Hercegovina,977,BAM,1,"3,848802","3,860383","3,871964"
EMU,978,EUR,1,"7,527601","7,550252","7,572903"
Poljska,985,PLN,1,"1,6835","1,688566","1,693632"
